issueType,knowlegebaseId
CVE-1999-0001,5707
CVE-1999-0036,990
CVE-1999-0039,235
CVE-1999-0052,908
CVE-1999-0053,6094
CVE-1999-0059,164
CVE-1999-0062,7559
CVE-1999-0067,136
CVE-1999-0068,3396
CVE-1999-0069,8158
CVE-1999-0075,5742
CVE-1999-0087,7992
CVE-1999-0095,195
CVE-1999-0132,11723
CVE-1999-0134,8159
CVE-1999-0139,8205
CVE-1999-0149,247
CVE-1999-0153,1666
CVE-1999-0157,1097
CVE-1999-0158,685
CVE-1999-0160,1099
CVE-1999-0161,797
CVE-1999-0164,8346
CVE-1999-0178,8
CVE-1999-0191,275
CVE-1999-0196,237
CVE-1999-0230,1102
CVE-1999-0239,122
CVE-1999-0256,875
CVE-1999-0268,110
CVE-1999-0268,3969
CVE-1999-0270,134
CVE-1999-0299,6093
CVE-1999-0305,11502
CVE-1999-0313,936
CVE-1999-0314,6788
CVE-1999-0322,6092
CVE-1999-0346,3397
CVE-1999-0348,930
CVE-1999-0367,7571
CVE-1999-0378,6167
CVE-1999-0379,1019
CVE-1999-0383,267
CVE-1999-0386,111
CVE-1999-0388,3186
CVE-1999-0405,3163
CVE-1999-0417,1001
CVE-1999-0421,981
CVE-1999-0428,3936
CVE-1999-0430,1103
CVE-1999-0445,1104
CVE-1999-0446,7051
CVE-1999-0449,2
CVE-1999-0449,3
CVE-1999-0449,4
CVE-1999-0458,915
CVE-1999-0464,6609
CVE-1999-0466,905
CVE-1999-0481,7556
CVE-1999-0482,7557
CVE-1999-0483,6129
CVE-1999-0484,6130
CVE-1999-0485,7558
CVE-1999-0524,95
CVE-1999-0593,59333
CVE-1999-0675,1038
CVE-1999-0683,1029
CVE-1999-0695,1064
CVE-1999-0724,6128
CVE-1999-0727,6127
CVE-1999-0729,1057
CVE-1999-0761,1074
CVE-1999-0763,6540
CVE-1999-0764,6539
CVE-1999-0770,1027
CVE-1999-0783,6090
CVE-1999-0796,6089
CVE-1999-0800,944
CVE-1999-0803,962
CVE-1999-0806,6552
CVE-1999-0820,5996
CVE-1999-0823,1150
CVE-1999-0826,1151
CVE-1999-0842,1144
CVE-1999-0859,6994
CVE-1999-0871,7837
